component,width_m,depth_m,height_m,x_m,plan_y_m,z_m
Entry_Shoe_Storage_Recessed_Plinth,0.14,0.51,0.08,1.99,6.7,0.04
Kitchen_Back_Base_Carcass,1.36,0.62,0.76,4.94,8.49,0.48
Kitchen_Back_Base_Front_01,0.4473,0.022,0.752,4.4867,8.169,0.48
Kitchen_Back_Base_Front_02,0.4473,0.022,0.752,4.94,8.169,0.48
Kitchen_Back_Base_Front_03,0.4473,0.022,0.752,5.3933,8.169,0.48
Kitchen_Back_Base_Recessed_Plinth,1.28,0.56,0.1,4.94,8.49,0.05
Kitchen_Back_Counter,1.39,0.65,0.04,4.94,8.49,0.89
Kitchen_Backsplash,0.018,2.02,0.72,3.615,7.6,1.26
Kitchen_Fridge,0.64,0.66,1.86,5.3,6.84,0.93
Kitchen_Fridge_Handle,0.027,0.04,0.46,5.12,7.187,1.16
Kitchen_Hob_Ring,0.2,0.2,0.003,3.94,7.09,0.936
Kitchen_Hob_Ring.001,0.2,0.2,0.003,3.94,7.39,0.936
Kitchen_Induction_Hob,0.49,0.59,0.022,3.94,7.24,0.922
Kitchen_Sink_Bowl,0.52,0.35,0.023,4.93,8.45,0.936
Kitchen_Sink_Rim,0.6,0.43,0.025,4.93,8.45,0.92
Kitchen_Tap_Spout,0.025,0.24,0.025,4.93,8.58,1.27
Kitchen_Tap_Stem,0.025,0.025,0.36,4.93,8.69,1.1
Kitchen_West_Base_Carcass,0.6,2.05,0.76,3.92,7.6,0.48
Kitchen_West_Base_Front_01,0.022,0.5065,0.752,4.231,6.8313,0.48
Kitchen_West_Base_Front_02,0.022,0.5065,0.752,4.231,7.3438,0.48
Kitchen_West_Base_Front_03,0.022,0.5065,0.752,4.231,7.8562,0.48
Kitchen_West_Base_Front_04,0.022,0.5065,0.752,4.231,8.3687,0.48
Kitchen_West_Base_Recessed_Plinth,0.52,1.99,0.1,3.92,7.6,0.05
Kitchen_West_Counter,0.64,2.07,0.04,3.92,7.6,0.89
Kitchen_West_Upper_Carcass,0.36,1.94,0.67,3.82,7.61,2.015
Kitchen_West_Upper_Front_01,0.022,0.479,0.662,4.011,6.8825,2.015
Kitchen_West_Upper_Front_02,0.022,0.479,0.662,4.011,7.3675,2.015
Kitchen_West_Upper_Front_03,0.022,0.479,0.662,4.011,7.8525,2.015
Kitchen_West_Upper_Front_04,0.022,0.479,0.662,4.011,8.3375,2.015
Living_Coffee_Table_Base,0.46,0.46,0.32,1.72,1.85,0.17
Living_Coffee_Table_Top,0.76,0.76,0.07,1.72,1.85,0.37
Living_Media_Console_Carcass,0.36,2.05,0.36,3.09,1.85,0.34
Living_Media_Console_Front_01,0.022,0.5065,0.352,2.899,1.0812,0.34
Living_Media_Console_Front_02,0.022,0.5065,0.352,2.899,1.5938,0.34
Living_Media_Console_Front_03,0.022,0.5065,0.352,2.899,2.1063,0.34
Living_Media_Console_Front_04,0.022,0.5065,0.352,2.899,2.6188,0.34
Living_Media_Console_Recessed_Plinth,0.28,1.99,0.16,3.09,1.85,0.08
Living_Removable_Cove_Trim,0.14,3.65,0.07,0.24,2.0,2.37
Living_Side_Table,0.5,0.5,0.06,0.7,3.65,0.43
Living_Side_Table_Base,0.32,0.32,0.42,0.7,3.65,0.22
Living_Sofa_Arm,0.94,0.2,0.48,0.7,0.83,0.54
Living_Sofa_Arm.001,0.94,0.2,0.48,0.7,3.07,0.54
Living_Sofa_Back,0.22,2.3,0.66,0.27,1.95,0.63
Living_Sofa_Back_Cushion_0,0.26,0.65,0.43,0.43,1.23,0.78
Living_Sofa_Back_Cushion_1,0.26,0.65,0.43,0.43,1.95,0.78
Living_Sofa_Back_Cushion_2,0.26,0.65,0.43,0.43,2.67,0.78
Living_Sofa_Platform,0.97,2.3,0.28,0.68,1.95,0.23
Living_Sofa_Seat_0,0.79,0.69,0.22,0.72,1.23,0.47
Living_Sofa_Seat_1,0.79,0.69,0.22,0.72,1.95,0.47
Living_Sofa_Seat_2,0.79,0.69,0.22,0.72,2.67,0.47
Living_TV,0.055,1.22,0.7,3.3,1.85,1.24
Main_Bedroom_Bed_Base,1.68,2.1,0.32,11.3,1.35,0.22
Main_Bedroom_Bedside,0.4,0.4,0.07,10.24,0.75,0.48
Main_Bedroom_Bedside.001,0.4,0.4,0.07,12.34,0.75,0.48
Main_Bedroom_Bedside_Base,0.26,0.26,0.44,10.24,0.75,0.24
Main_Bedroom_Bedside_Base.001,0.26,0.26,0.44,12.34,0.75,0.24
Main_Bedroom_Duvet,1.615,1.55,0.12,11.3,1.55,0.635
Main_Bedroom_Mattress,1.6,2.0,0.25,11.3,1.35,0.48
Main_Bedroom_Upholstered_Headboard,1.76,0.1,1.1,11.3,0.29,0.7
Main_Bedroom_Wardrobe_Carcass,0.6,1.55,2.23,12.23,3.4,1.215
Main_Bedroom_Wardrobe_Front_01,0.022,0.5107,2.222,11.919,2.8833,1.215
Main_Bedroom_Wardrobe_Front_02,0.022,0.5107,2.222,11.919,3.4,1.215
Main_Bedroom_Wardrobe_Front_03,0.022,0.5107,2.222,11.919,3.9167,1.215
Main_Bedroom_Wardrobe_Recessed_Plinth,0.52,1.49,0.1,12.23,3.4,0.05
Service_Yard_Upper_Storage_Carcass,0.94,0.38,0.57,6.49,8.59,2.015
Service_Yard_Upper_Storage_Front_01,0.464,0.022,0.562,6.255,8.389,2.015
Service_Yard_Upper_Storage_Front_02,0.464,0.022,0.562,6.725,8.389,2.015
Service_Yard_Washer,0.6,0.62,0.88,6.49,8.49,0.44
Service_Yard_Washer_Door,0.41,0.41,0.025,6.49,8.165,0.47
Shelter_Freestanding_Shelf,0.66,0.45,0.035,0.48,6.7,0.4
Shelter_Freestanding_Shelf.001,0.66,0.45,0.035,0.48,6.7,0.95
Shelter_Freestanding_Shelf.002,0.66,0.45,0.035,0.48,6.7,1.5
Shelter_Freestanding_Shelf.003,0.66,0.45,0.035,0.48,6.7,2.05
Shelter_Shelf_Upright,0.04,0.43,2.16,0.19,6.7,1.08
Shelter_Shelf_Upright.001,0.04,0.43,2.16,0.77,6.7,1.08
